links,overview,title
/movie/299534?language=en-US,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo…",Avengers: Endgame
/movie/24428?language=en-US,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back…",The Avengers
/movie/299536?language=en-US,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy…",Avengers: Infinity War
/movie/99861?language=en-US,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron…",Avengers: Age of Ultron
/movie/9320?language=en-US,"British Ministry agent John Steed, under direction from ""Mother"", investigates a diabolical plot by arch-villain Sir August de Wynter to rule the world with his weather control machine. Steed investigates the beautiful…",The Avengers
/movie/14609?language=en-US,"When a nuclear missile was fired at Washington in 1945, Captain America managed to detonate it in the upper atmosphere. But then he fell miles into the icy depths of the North Atlantic, where he remained lost for…",Ultimate Avengers
/movie/521720?language=en-US,"When Rumpelstiltskin tries to take over Earth once and for all, The Avengers Grimm must track him down through time in order to defeat him.",Avengers Grimm: Time Wars
/movie/14611?language=en-US,"Mysterious Wakanda lies in the darkest heart of Africa, unknown to most of the world. An isolated land hidden behind closed borders, fiercely protected by its young king - the Black Panther. But when brutal alien…",Ultimate Avengers 2
/movie/323660?language=en-US,"When Rumpelstiltskin destroys the Magic Mirror and escapes to the modern world, the four princesses of ""Once Upon a Time""-Cinderella, Sleeping Beauty, Snow White, and Rapunzel-are sucked through the portal too.…",Avengers Grimm
/movie/347158?language=en-US,"When the Jade Empress steals the world's largest diamonds, super heroes Bikini Avenger and Thong Girl must stop her before she uses the gems to build a dangerous sci-fi weapon.",Bikini Avengers
/movie/14613?language=en-US,The children of the Avengers hone their powers and go head to head with the very enemy responsible for their parents' demise.,Next Avengers: Heroes of Tomorrow
/movie/516339?language=en-US,The continuations of the adventures of Bobrov family all members of which suddenly became superheroes...,SuperBobrovs. People Avengers
/movie/538153?language=en-US,"While trying to remain a good husband and father, Superbat and the Avengers of Justice come out of retirement to stop Dark Jokester and Lisp Luthor from freezing the planet.",Avengers of Justice: Farce Wars
/movie/58906?language=en-US,"Charlie and Rhonda are a sweet and comfortable married couple on vacation with their lovely daughter Daphne. They find a rundown boarding house and its haggard owner, Joseph, an ex-con whose mother has just died…",Alien Avengers
/movie/368304?language=en-US,"In ""LEGO Marvel Super Heroes: Avengers Reassembled!,"" the Avengers prepare for a party at Stark Tower and notice that Iron Man is acting strange. After some investigation, they discover that the evil Ultron has…",LEGO Marvel Super Heroes: Avengers Reassembled!
/movie/257346?language=en-US,"When the Punisher takes out a black-market weapons dealer, he stumbles upon a far-reaching terrorist plot devised by a group known as Leviathan.",Avengers Confidential: Black Widow & Punisher
/movie/432413?language=en-US,"The attractive Argentine Don Careless is an adventurer and an excellent swordsman. Don is in love with Maria Moreno, since he had to emerge her jewels and had thereby to kill a shark. Don tries to prevent the forced…",The Avengers
/movie/63441?language=en-US,"Philip Kwok plays a repentant killer who vows to destroy the masked gang of which he was a member. A young fighter and his martial arts brothers come to the town to catch the killers, but one of them is not to be…",Masked Avengers
/movie/448368?language=en-US,Joss Whedon and others in interviews discussing the aims for this new franchise.,The Avengers: A Visual Journey
/movie/65591?language=en-US,"A brilliant continuation of the saga, now in the city. The target of young patriots is a map held in the safe locker in the headquarters of secret police!",The New Adventures of the Elusive Avengers
/tv/2473?language=en-US,The Avengers is a British television series created in the 1960s. The Avengers initially focused on Dr. David Keel and his assistant John Steed. Hendry left after the first series and Steed became the main character…,The Avengers
/tv/59427?language=en-US,"The further adventures of the Marvel Universe's mightiest general membership superhero team. With an all-star roster consisting of Iron Man, Captain America, Thor, Hulk, Hawkeye, Falcon and, occasionally--when she…",Marvel's Avengers Assemble
/tv/33623?language=en-US,"When the powers of a single hero are not enough to save the world, the world’s greatest heroes—Iron Man, Thor, Captain America, The Hulk, Ant-Man/Giant Man and Wasp—assemble to form the Avengers.",The Avengers: Earth's Mightiest Heroes
/tv/10360?language=en-US,"The New Avengers is a British secret agent fantasy adventure television series produced during 1976 and 1977. It is a sequel to the 1960s series, The Avengers and was developed by original series producers Albert…",The New Avengers
/tv/1300?language=en-US,Animated series based on the Marvel Comics superhero team.,The Avengers: United They Stand
/tv/91278?language=en-US,"The anime follows Makoto, a young boy who gains superpowers due to an evil gene manipulation experiment. Makoto and other youths join the Avengers as apprentices named ""Future Avengers."" The anime will show Makoto…",Marvel Future Avengers
/tv/74473?language=en-US,"Features three women from different walks of life coming together for revenge: a fish store ajumma who envisioned a better life for herself, a housewife who grew up an orphan, and a chaebol’s daughter who was raised…",Avengers Social Club
/tv/70801?language=en-US,"A group of teenagers join forces with the Avengers, Earth's mightiest heroes, to fight against the tyrannical Loki and his mighty empire.",Marvel Disk Wars: The Avengers
/tv/69062?language=en-US,We don't have an overview translated in English. Help us expand our database by adding one.,Burka Avengers
/tv/66848?language=en-US,Hip-hop dance fuses with psychedelic sci-fi/fantasy in this cutting-edge webseries.,The AXI: The Avengers of eXtreme Illusions
