budget,cast_members,crew_members,genres,language,overview,released_date,revenue,reviews,runtime,title
" $139,000,000.00","TobeyMaguire,PeterParker/Spider-Man,WillemDafoe,NormanOsborn/GreenGoblin,KirstenDunst,MaryJaneWatson,JamesFranco,HarryOsborn,CliffRobertson,BenParker","Stan Lee,Author,Steve Ditko,Author,John Romita Sr.,Characters,Sam Raimi,Director,David Koepp,Screenplay","Fantasy,Action", English,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers.","May3,2002"," $821,708,551.00",, 2h 1m,Spider-Man
" $175,000,000.00","TomHolland,PeterParker/Spider-Man,MichaelKeaton,AdrianToomes/Vulture,RobertDowneyJr.,TonyStark/IronMan,MarisaTomei,MayParker,JonFavreau,Harold""Happy""Hogan","Jon Watts,Director, Writer,Steve Ditko,Characters,Stan Lee,Characters,Erik Sommers,Writer,Chris McKenna,Writer,Jonathan M. Goldstein,Writer,Christopher D. Ford,Writer,John Francis Daley,Writer","Action,Adventure,Science Fiction,Drama", English,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.","July7,2017,October17,2017"," $880,166,924.00",, 2h 13m,Spider-Man: Homecoming
" $160,000,000.00","TomHolland,PeterParker/Spider-Man,JakeGyllenhaal,QuentinBeck/Mysterio,Zendaya,Michelle""MJ""Jones,JonFavreau,Harold""Happy""Hogan,SamuelL.Jackson,NickFury","Jon Watts,Director,Erik Sommers,Screenplay,Chris McKenna,Writer","Action,Adventure,Science Fiction", English,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.","June26,2019,July2,2019"," $1,098,920,975.00",, 2h 9m,Spider-Man: Far from Home
" $90,000,000.00","ShameikMoore,MilesMorales/Spider-Man(voice),JakeJohnson,PeterB.Parker/Spider-Man(voice),HaileeSteinfeld,GwenStacy/Spider-Woman(voice),MahershalaAli,AaronDavis/Prowler(voice),BrianTyreeHenry,JeffersonDavis(voice)","Rodney Rothman,Director, Screenplay,Phil Lord,Screenplay, Story,Steve Ditko,Characters,Stan Lee,Characters,Bob Persichetti,Director,Peter Ramsey,Director","Action,Adventure,Animation,Science Fiction,Comedy", English,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.","December1,2018,December14,2018,February26,2019,March19,2019"," $375,450,417.00",, 1h 57m,Spider-Man: Into the Spider-Verse
" $258,000,000.00","TobeyMaguire,PeterParker/Spider-Man,KirstenDunst,MaryJaneWatson,JamesFranco,HarryOsborn/NewGoblin,ThomasHadenChurch,FlintMarko/Sandman,TopherGrace,EddieBrock/Venom","Sam Raimi,Director, Screenplay,Stan Lee,Author,Steve Ditko,Author,Ivan Raimi,Screenplay,Alvin Sargent,Screenplay","Fantasy,Action,Adventure", English,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","May3,2007"," $890,871,626.00",, 2h 19m,Spider-Man 3
" $200,000,000.00","AndrewGarfield,PeterParker/Spider-Man,EmmaStone,GwenStacy,JamieFoxx,MaxDillon/Electro,DaneDeHaan,HarryOsborn/GreenGoblin,CampbellScott,RichardParker","Jeff Pinkner,Screenplay, Story,Roberto Orci,Screenplay, Story,Alex Kurtzman,Screenplay, Story,Steve Ditko,Characters,Stan Lee,Characters,Marc Webb,Director,James Vanderbilt,Story","Action,Adventure,Fantasy", English,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","May2,2014"," $705,717,432.00",, 2h 22m,The Amazing Spider-Man 2
,,,,,,,,"There's now officially (not at all officially, more like just-my-opinion-ally) twice as many good Spider-Man movies as there is bad ones. But , is my favourite of the bunch. 2017 has been a great year for  the Superhero genre, and , does nothing to buck that trend. It's got everything a Spider-Man movie should have: Heart, humour, action, spectacle, a grounded school life, coming-of-age themes, and all this while firmly rooting itself in the Marvel Cinematic Universe -- without relying on the framework of the past to hold it up. , is spec... ,Disappointing return for the webslinger. After the dramatic introduction in Civil War this film feels like an excercise in keeping the coffers full.
Unlike the Toby Maguire films this incarnation feels flat. It never manages to really put our superhero in any real peril...it just goes through the motions and ticks boxes. Granted it is mostly enjoyable, but did we need it??
No.,The suit and inclusion of Iron Man takes away from what is great about Spiderman. The fact he has to juggle school, work, realationships is what kept him grounded...
He does not need Iron Man's suit or him flying in... ,I guess I should not be too surprised given the Spider Man character we saw in the latest Captain America but I have to say that I was, well, hoping for something else, as in something better.,If the producer/writer intended to make a Spider Man movie for kids, and I mean kids, not young adults but kids, then this movie is hitting the spot. It is an excellent action/adventure movie for kids. Unfortunately I am not really in that viewer segment and for me this movie was pretty bad.,The movie is childish. There is no other way to describe it. My memory of spider man is a quite serious young... ,No doubt, Tobey Maguire Spider-man is the best. It was also the first modern superhero of the millennium. The visual effects and entertainment wise, the second live-action Spider-man was good too, but this one is so different. This is about a teenage superhero. Just a kid. Having possessed such superpower, how he manages it alongside his normal life was nicely told.,This story begins straight away, because the introduction was done in the previous Marvel film, which are part of Avengers universe. Peter Parker assisted by Tony Stark, is very keen to figh... ,After the failure that was 'The Amazing Spider-man 2' Sony made a drastic decision in lending the character back to Marvel, and did it pay off? Absolutely!,Unlike the Sam Raimi trilogy where Toby Maguire was a better Peter Parker than Spider-man and the Mark Webb duology where Andrew Garfield was a better Spider-man than a Peter, Tom Holland encapsulates both characters perfectly.
Of course there were a negatives, especially in the second act which drops off a bit but the movies does such a wonderful job of recapturing our attention that you just can't help but forgive the movie for it!,AMAZING!!,My expectations were extremely low before this one released. Can't argue that the Amazing Spider-Man movies are very bad, yet there is always a room for a getting worse. But seriously, Homecoming has completely changed my experience from movies by Marvel x Sony Pictures. It was entertaining and moving. Furthermore, it's as good for re-watch as well, what is a completely new experience for me.,Spider-Man: Homecoming can't even hold a candle next to Sam Raimi's first two Spider-Man films, not to mention Spider-Man: Into the Spiderverse. Homecoming is simply Marvel's integration of Spider-Man into the MCU. It works on that level. Tom Holland is a good Peter Parker; finally an actor that looks like a high school student! Marisa Tomei does a really cool, sexy Aunt May, which I never thought I'd ever see. Michael Keaton is excellent as Vulture, one of the more interesting villains in the MCU.,The relationship between Tony Stark and Peter Parker is good but should have been better. It's... ,I personally thought all hope was lost, there's no way ANOTHER Spider-Man reboot could be successful. Yet this movie is colourful, fun, and fitting movie for the MCU",,
,,,,,,,,"The whole film is a relentless flurry of action and adventure from the get-go, with the man himself sporting no less than four different spider suits (for all the mega fans out there). Maria Hill (Cobie Smulders) gets a look-in once again after her very disappointing absence from 99.99% of ‘Endgame’, but she’s wasted on screen, serving little to no purpose. And while this film finally gives us a Peter/MJ love story, it’s all too familiar territory - not because of the characters involved but because we saw Peter pursue a crush in ‘Homecoming’. We also saw him try to balance the student/hero sid... ,Amazing movie!!,If you enjoy reading my Spoiler-Free reviews, please follow my blog :),First of all, this is a spoiler-free review of Far From Home, but NOT of Avengers: Endgame! So, if you still didn’t watch the latter or heard what happens in it (by some inexplicable reason), this is a SPOILER WARNING for the events of that era-ending film. Moving on to the web-slinger, this sequel is everything it should be and a bit more. It beautifully encapsulates how everyone’s feeling about the central death of Endgame, especially Peter Parker. I wished Jon Watts would put a lot of focus into Spider-Man’s grief and... ,Problems: I thought the Gyllenhaal character was corny, Spidey taking selfies too out of character for a selfless hero, and the Fury twist throughout the movie really unnecessary. ,What I liked: Tom Holland continues to be a charming actor.,There's a some things in , that I personally didn't love. But I got , what I wanted from Mysterio, and that was so important to me. It's pretty amazing that the MCU is twenty three films deep, and they're still bringing out this sort of quality. I know this series is not for everyone. But until they start making movies I don't like, I'm gonna keep showing up.,I just came home with the kids from the cinema where we had watched Spider-Man: Far From Home so I thought I would write a few lines while it was still fresh in my mind.,I have to say that it was a decent enough movie. I didn’t exactly regret having forked out the money to watch it in the cinema but that’s about it. It’s far from a great movie and the end scene…well it’s a typical really crappy Hollywood ending where the writer cannot be bothered to spend time creating something intelligent so he just goes for the usual sensationalist cliffhanger bullshit.,As with the previous movie, Spid... ",,
,,,,,,,,"First of all, I love the animation style in this film. The animation in this film is styled to look like an actual comic book. I think this approach for this kind of film was an excellent choice because we’ve all seen the usual kind of animation but nothing like this. To tie in with the animation I need to talk about the action scenes in this film. These tie in with the animation because of the way the directors styled the action shots is to look like something in a comic panel. Most people don’t know who Miles Morales is and after this film, you’ll want to learn more about him because of how t... ,It's true I liked it less than perhaps the vast majority of , audience, but this was still great, the animation enamouring, and the depth of its story and reference totally engaging. Not to me the best Spider-Man movie as many have said, (that honour still goes to ,) but a blast all the same.,My wife doesn’t care for Spider-Man at all - as Batman is her favorite superhero.,With that being said, she loves this movie to death, along with my son and I. It’s safe to say we’ve watched this movie over 10 times and we’ve shown it to all our friends. It’s a really great movie that promotes diversity, good animation, and has a great story. I highly recommend to all who are interested in watching.,Spider-Man: Into the Spider-Verse (2018) is no ordinary Spider-Man movie, it contains multiple characters with the same powers in multiple dimensions.
 This is also not an ordinary animated movie. It has animated style we have never seen before. There were 177 animators and it took 1 week to animate 1 second and 1 year to nail down 10 seconds. Nowadays, animations are being made to look real but this movie was different. However, the creators wanted it to look like something new for viewers. They don't make it realistic or cartoon. The creators used an old-school technique called ""smear"". If y... ",,
,,,,,,,,Sam Raimi's Spider-Man captures the spirit of the comic book hero and it's still one of my all time favourite superhero movies. It lays out the perfect blueprint for a superhero origin story that I love revisiting every year or so. I've always been able to relate to Peter Parker growing up. Tobey Maguire and Co. delivered a great interpretation of the characters in a way that still can not be matched.,,
